name,number,hex
white,001,#f2f2f0
naples yellow,021,#f8ed8c
lemon yellow,019,#fce41d
coral,236,#ffbdb7
green yellow light,072,#b0d864
cold grey,223,#ccced0
luminous yellow,233,#f1bb9a
gold yellow,022,#ffdc02
yellow deep,020,#ffc100
rose ochre,230,#ecaca1
titanium buff,099,#e0b478
bright yellow,018,#ffb059
light grey,014,#b1b3b3
blue grey,011,#89a7b1
moss green,205,#c1b144
chromium green light,086,#738345
yellow ochre,026,#d58c2c
pale blue,006,#6f9de8
orange ochre,238,#d4997f
reddish brown grey,015,#94867a
turquoise blue,206,#00acc1
ash blue,207,#40b6e6
cinnabar green yellow,042,#00a243
pale pink madder lake,077,#f76e7e
rose ochre,025,#ecaca1
grey green,016,#7c8c76
violet ochre,209,#a68a94
barite green,040,#00b29c
mandarin,200,#ff5e21
vermillion,038,#fc4e25
chinese orange,090,#c73e32
olive green,046,#708257
yellow grey,013,#888e8c
medium grey,224,#84898e
red light,029,#e72f34
permanent green light,234,#006c46
celadon green,214,#1397a8
phtalo blue,222,#3690ba
celestial blue,219,#007398
sap green light,088,#558368
raw sienna,037,#9d6637
midnight blue,211,#005c87
indian blue,225,#1371d0
royal blue,227,#436ace
geranium lake light,202,#da435f
permanent intense red,220,#c22832
red deep,030,#a8293a
cobalt blue,004,#282fb5
french ultramarine blue,237,#2532aa
red brown,239,#914637
earth brown,243,#926d4a
purple,027,#b12659
ruby red,031,#b22433
pine green,213,#26584b
green medium,045,#00693d
azure blue,002,#005ea5
raw umber,035,#58493b
burnt sienna,036,#774436
venetian red,032,#8d3f35
bordeaux,008,#6d2c39
brown madder,092,#5c3733
parma violet,216,#50397b
prussian blue,007,#2b3153
indigo light,080,#354f6c
blue violet,047,#4c3a6c
burnt umber,034,#543e38
sepia,033,#423e39
charcoal,228,#474c51
cobalt violet light,217,#45335a
payne's grey,096,#3b383a
mars black,098,#3a3939
black,023,#353536
